movieId,keywords
649,"prostitute, adultery, double life, dual identity, jealousy, wife husband relationship, brothel, dream, women's sexual identity, fantasy, masochism, independent film"
1873,"burma, rangoon, doctor"
5894,"smoking, corner shop, cigarette, tobacco, cigar, independent film"
8839,"halloween, friendship, supernatural, afterlife, friends, danger, ghost, disorder, young heroes, imaginary, supernatural ability, mischievous children"
8963,"submarine, mutiny, russia, missile, nuclear missile, embassy, u.s. navy, battle for power, torpedo, military, moral dilemma, post cold war, aircraft carrier, chain of command, launch code, sonar"
26564,"underground, biography, art"
8068,"gunslinger, anti terror, ambush, mexico, showdown, guitar, nudity, hitman, bartender, revenge, tragic hero, shootout, mariachi, explosion, extreme violence, brutality, drug lord, leg brace, concealed weapon, flashback, bookstore"
8512,"jazz club, murder, los angeles, private detective, film noir, neo-noir"
1572,"bomb, taxi, riddle, robbery, detective, helicopter, gold, subway, ship, fistfight, police, sequel, deception, shootout, new york city, explosion, violence, car chase, fbi agent, simon says, flashback, dump truck, aqueduct, action hero, federal reserve bank"
6520,"camelot, knight, king arthur, excalibur, knights of the round table"
8973,"fanatic, supernatural, wizardry, resurrection, sect, occultism"
2293,"sex, game show, slacker, shopping, mall, ex-boyfriend ex-girlfriend relationship, jay and silent bob, silent man, coke, bandleader, aftercreditsstinger"
1642,"cheating, new identity, computer virus, chase, computer, stalking"
32646,"sex, chemical, medicine, housewife, pollution, quarantine, independent film, allergy, psychiatrist, illness, disorder, retreat, multiple chemical sensitivity (mcs), environmental illness"
281,"pornography, prostitute, rape, police brutality, dream, ex-girlfriend, future, bodyguard, rapper, virtual reality, dystopia, minidisc, police, ex-cop, murder, cyberpunk, los angeles, violence, criminal, private detective, revolt, woman director"
5967,"car mechanic, letter, musical, war, single"
3512,"terrorist, pentagon, satellite, navy seal, train"
65796,"opium, loss of eyesight, biography, sioux, wild bill hickok, calamity jane"
26258,"cave, waterfall, children, mistaken identity, boy scouts leader"
76,"dialogue, sunrise, talking, soulmates, walking, austria, traveller, danube, bittersweet, romantic, vienna"
6715,mississippi
2292,"salesclerk, loser, aftercreditsstinger"
1909,"sex addiction, love, mental institution, patient, psychiatrist, don juan"
8984,"employee, workplace, sexual harassment, intrigue"
4954,"terrorist, transport of prisoners, airplane, parachuting, suspense"
522,"individual, taxi, transsexuality, fortune teller, film business, film making, film producer, vororte, film maker, boxer, film director, oddball, celebrity, morphine, movie studio, los angeles, drug addict, cult director, theremin, handgun, trick or treating, actor, transvestite"
397,"paris, airport, in love with enemy, canadian, necklace, fear of flying, deal, vineyard, smuggling"
1024,"mother, sex, secret, obsession, literature, nudity, fantasy, passion, love, friends, murder, independent film, lesbian, true, relationship"
628,"paris, san francisco, vampire, plantation, pity, bite, fang vamp"
6280,"baby, medicine, media, pregnancy, scientist, science, male pregnancy, fertility, gynaecology, ceasarean birth"
6071,hoodlum
11,"android, galaxy, hermit, death star, lightsaber, jedi, rescue mission, empire, rebellion, planet, smuggler, the force, space opera, galactic war, stormtrooper, totalitarianism"
4476,"brother brother relationship, montana, based on novel, world war i, journey round the world"
32325,"east los angeles, gang, los angeles, poverty, gang member, hispanic, mexican american, girl gang, woman director, cholo, chola"
3036,"human experimentation, frankenstein, remake"
8986,"prostitute, tree house, red-light disctrict, young people, stripper, make a match, mob boss"
1945,"loss of mother, loss of sister, twin sister, autism, lake, kaspar-hauser-syndrom, feral child, forest, north carolina, psychologist, family"
241,"sadistic, journalist, mass murder, yellow press, trauma, daughter, satire, controversy, controversial, violence, young couple, abuse"
527,"individual, slum, suicide, tattoo, alcohol, rape, tradition, loss of child, indigenous, despair, violent husband, ghetto, new zealand, maori, strong woman, lack of prospects, maori tradition, funeral, approved school , crush, independent film, teacher, youth gang, domestic violence, violence, rebellious youth, alcohol abuse, incest, unemployment"
6950,"river, general, research, army, serum, monkey, epidemic, medical research"
101,"new york, corruption, assassin, police brutality, loss of family, s.w.a.t., immigrant, hitman, training, revenge, murder, loneliness, neighbor, tragic love, cult film, neo-noir, complex relationship, complex characters"
2307,"jealousy, burning house, teenage crush, arsonist"
680,"transporter, brothel, drug dealer, boxer, massage, stolen money, crime boss, dance contest, junkyard, kamikaze, ambiguous ending, briefcase, redemption, heirloom, pulp fiction, reference to al green, theft, brutality"
3586,"paris, hotel room, suspicion of murder, mannequin, fashion photographer, sandwich, poodle, reporter, fashion"
110,"judge, isolation, mannequin, shadowing, english channel, geneva, travel, dog"
108,"paris, composer, pain, loss of husband, to compose"
109,"hairdresser, sexual frustration, funeral, business man, poland"
159185,
2636,"explosive, revenge, explosives expert"
2164,"space travel, teleportation, uprising, shot to death, androgyny, space western, outer space, timebomb, death of son, nuclear weapons, invented language, hieroglyph, egyptian mythology, egyptology"
278,"prison, corruption, police brutality, prison cell, delinquent, parole board, escape from prison, wrongful imprisonment, framed for murder, 1940s"
193,"based on tv series, death, exploding planet, mountain cabin, solar system"
95963,"vietnam, jungle, black american"
1587,"brother brother relationship, mentally disabled, iowa, widow, dysfunctional family, independent film"
2064,"brother brother relationship, chicago, coma, subway, love of one's life, brother, man of one's dreams, hospital"
236,"individual, becoming an adult, dream, return, love of one's life, overweight, province, bathing, olympic games, empowerment, boredom, daughter, friendship"
3049,"dolphin, mascot, private detective, pets"
2759,"gay, drag queen, homophobia, musical, van, australia, transgender, australian aborigine"
888,"manager, jealousy, bad mother-in-law, adoption, family's daily life, stone age, plan, friendship, best friend, dinosaur"
13,"vietnam veteran, hippie, mentally disabled, running, based on novel, vietnam, vietnam war, friendship, love, family relationships, bully, mother son relationship, military, hugging, shrimping, wounded soldier, flashback, park bench, amputee"
712,"upper class, love at first sight, wedding vows, marriage proposal, yuppie, love of one's life, lone wolf, snob, witness, bride, bridegroom, bridesmaid, funeral, clumsy fellow, friendship, wedding, gay couple"
8587,"loss of parents, wild boar, uncle, shaman, redemption, king, scar, hyena, meerkat"
1689,"buddhist, tibet, reincarnation, buddha, siddhartha, independent film"
854,"dual identity, bank, mockery, green, balloon, jail cell, norse mythology"
2788,"roommate, yuppie, generations confilct, camcorder, cohabitant, cabriolet, fictional tv show, unemployed"
8987,"river, robber, boston, bank robber, marriage crisis, hostage-taking, rafting, criminal, white water rafting"
8831,"martial arts, time travel, science fiction, alternative reality"
315,"killing, sports car, go-go dancer, eroticism, kidnapping, independent film, b movie, exploitation film"
8011,"japan, new york, scotland, morocco, good and bad"
171857,
2654,"small town, paranoia, new hampshire, insanity, suspense, h.p. lovecraft, diner, author, disappearance, church, violence, gothic, crucifix, new england, insurance investigator, ghost town, publisher, horror novel"
2758,"jealousy, baby, brother sister relationship, butler, yuppie, nanny, summer camp, guillotine, uncle"
306,"detective, undercover, security camera, carousel , investigation, weapon, sequel, rescue, counterfeit, shootout, dirty cop, gunfight, los angeles, explosion, violence, foot chase, framed, car chase, secret service, amusement park, roller coaster, beverly hills, buddy comedy"
26203,"killer, blindness"
178,"terrorist, boston, fireworks, orchestra, anarchist, concert, computer, revenge, irish, wedding, explosion, violence, roulette wheel, capsized ship, belfast, bomb planting, headphones, flashback, bomb attack, blast, human bomb"
4722,"distrust, military base, remake, alien, escape, soldier, alien invasion, alien infection, sleeping, doppelganger, emotionless"
26391,
117553,"male nudity, tattoo, california, father son relationship, beach, radio, narration, con man, nostalgia, calendar, cops, party, stolen money, domestic abuse, stalking, coming of age, diner, marijuana, hollywood, summer, movie star, stolen cars, practical joke, military enrollment, small time thugs, movie clips, live life to the fullest, fictionalized biography"
6075,"prison, 1970s, puerto rican, release from prison, criminal past, love, night club, violence, drug, disco"
2124,"suicide, california, sex, secret identity, eroticism, paranoia, nudity, group therapy, therapist, grief, obsessive compulsive disorder, violence, psychiatrist, car chase, disguise, mental illness, color blindness, voyeurism"
49299,"independent film, drug, divorce, filmmaking, psychological drama"
26141,"spoof, private detective"
5503,"chicago, showdown, undercover, surgeon, death sentence, doomed man, lethal injection, chase, remake, betrayal, on the run, train crash, escape, fugitive, based on tv series, u.s. marshal, doctor, explosion, home invasion, disguise, one armed man, framed for murder, flashback, corrupt cop, manhunt, bus accident, storm drain"
2087,"suicide by hanging, sexual torture, exploding truck, cuckold, garbage dump"
4916,
2019,"new orleans, mercenary, hunting human beings, money, drifter, union, sailor, human prey"
26271,"sleepover, independent film, best friend"
2259,"central and south america, farm worker, farm, coup d'etat, santiago, paranormal phenomena, domestic violence, estate, family estate"
7984,"bomb, prison, father son relationship, based on novel, 1970s, biography, faith, irish, trial, rebellion, torture, terrorism, courtroom"
6,"chicago, drug dealer, boxing match, escape, one night"
329,"exotic island, dna, paleontology, tyrannosaurus rex, triceratops, brontosaurus, electric fence, island, dinosaur, amusement park, theme park, jurassic park"
507,"paris, prostitute, robbery, drug abuse, aids, bank, jazz, hostage, night life, kidnapping, vault, junkie, bank robber, heroin, friendship, murder, independent film, pistol, violence, drug, bank robbery, illegal prostitution, hoodlum"
1413,"china, opera singer"
2246,"married couple, insurance fraud, boarder, suspense, child wish"
2320,"bomb, ransom, hostage, airplane, hijacking, terror cell, special unit, deception, rescue, covert operation, disaster, shootout, terrorism, explosion, violence, surveillance, night vision goggles, flight attendant, intelligence agent, flashback, hand to hand combat, nerve gas"
5879,"japan, jealousy, brothel, nudity, passion, longing, geisha, deceived wife, castration, strangle, independent film, unsimulated sex, prostitution, erotic 70s"
2625,"depression, therapist, symphony, piano, psychiatrist patient relationship, bipolar disorder"
788,"san francisco, parent child relationship, restaurant, nanny, mask, custody battle, fake identity"
713,"love triangle, scotland, mother, adultery, sexuality, jealousy, culture clash, isolation, eroticism, strangeness, penalty, violent husband, new zealand, maori, arranged marriage, piano lessons, settler, wilderness, deceived husband, marriage, secret love, woman director"
8291,"loss of lover, sadness, los angeles, road movie"
1245,"newspaper, butler, country house, loyalty, flower, nazis, jewish, britain, housekeeper, employer"
7007,"japan, usa, corruption, detective, journalist, based on novel, japanese, restaurant, wheelchair, parking garage, company, police, party, murder, whodunit, seppuku, bulletproof vest"
5550,"cyborg, dystopia, police, sequel, cyberpunk, policeman, robocop"
2088,"police operation, sex addiction, police, mafia boss, suspense, bad cop, hitwoman"
424,"factory, concentration camp, hero, holocaust, world war ii, nazis, defense industry, biography, the holocaust"
103413,"suicide, social worker, village, orphanage, orphan, small village"
8850,"new york, atomic bomb, ladykiller, hypnosis, superhero, based on comic, radio series, invisibility, the shadow"
695,"suicide, loss of son, helicopter, cheating, fishing, daily life, jazz musician, modern society, cellist, earthquake, los angeles"
858,"father son relationship, lovesickness, journalist, loss of mother, loss of lover, radio station, christmas party, love of one's life, radio, seattle, baltimore, fiancé, radio presenter, airplane, radio transmission, observation deck, friendship, unsociability, woman director"
867,"new york, sex, based on novel, eroticism, hidden camera, video surveillance, psychopath, murder, neighbor, stalking, landlord, female protagonist, drug use, sex talk, apartment building, landlord tenant relationship, mind game, erotic thriller"
78,"artificial intelligence, bounty hunter, dystopia, genetics, fugitive, cyberpunk, los angeles, tech noir, neo-noir, futurista, lluvia"
319,"father son relationship, film producer, mexican standoff, loss of father, cocaine, love, mafia, los angeles, drug, illegal prostitution, gun violence"
32562,"gay, cinema, media, lesbian, hollywood, lgbt, lgbt history"
124304,"dwarves, small town, widow, argentina, woman director"
771,"holiday, burglar, home invasion, mischief, booby trap, home alone, suburban chicago, mischievous child, christmas, child"
251,"corruption, fortune teller, money transfer, money laundering, pottery, afterlife, spiritism"
812,"magic, musical, cartoon, princess, love, comedy, animation, monkey, arab, aftercreditsstinger, genie, animal sidekick"
280,"cyborg, shotgun, post-apocalyptic, dystopia, moral ambiguity, mental institution, violence, fictional war, morphing, nuclear weapons, shape shifter, savior, catch phrase"
581,"skab under tv, Øverste hylde, foran"
80350,"cia, amnesia, drug smuggling"
268,"double life, dc comics, dual identity, chemical, crime fighter, fictional place, gotham city, superhero, super powers"
274,"based on novel, psychopath, horror, suspense, serial killer, psychological thriller, cannibal, fbi agent, animal in cast credits, cannibalism"
408,"poison, witch, becoming an adult, sadness, queen, attempted murder, dying and death, appearance, princess, candlelight vigil, snow white"
114,"prostitute, capitalism, cinderella, expensive restaurant, sports car, workaholic, fire escape, friendship, los angeles, piano"
576,"underdog, robbery, bounty hunter, texas, mexican revolution, friendship, honor, gang, shootout, soldier, steam locomotive, righteous rage"
124472,woman director
7300,"skab under tv, bagved, Øverste hylde"
275,"cheating, ransom, salesclerk, winter, kidnapping, auto, unsociability, police, north dakota, murder, money, car dealership, woodchipper"
8766,"artificial intelligence, engineer, hell, pinhead, demon, puzzle box, cenobites, artificial"
4307,"spain, madrid, suicide attempt, mother daughter relationship, novelist, old woman"
1592,"corruption, bishop, court case, pornographic video, court, psychopathy"
38884,"spain, solidarity, fascism, revolution, communist, worker, spanish civil war, anarchist, franco regime, marxism, betrayal, working class"
2021,"london england, depression, baby, nanny, daughter"
954,"paris, london england, spy, cia, terrorist, secret identity, undercover, arms deal, headquarter, secret base, secret mission, prague, embassy, secret agent, tgv, computer, mission, based on tv series, espionage, agent"
8840,"magic, kingdom, despot, immortality, village, forest, army, horror, partner, revenge, knight, battle, medieval, dragonheart"
124625,
161070,"wales, rural setting, older woman younger man relationship"
5801,"robbery, move, monsoon, difficult childhood, dying and death, misery, priest, teacher, writer, railroad, unemployment, help"
896,"broken engagement, arranged marriage, dying and death, calcutta"
3065,"tastelessness, film and cinema, based on tv series, spoof, robot, scientist"
2300,"sport, basketball, doctor, basketball team, basketball game, referee, basketball court, tweety bird, speedy gonzales, cartoon chicken, sylvester the cat, cartoon reality crossover, basketball hoop, cartoon skunk"
8069,"sexual fantasy, alien planet, distant future, cult classic, female mercenary"
27768,independent film
33245,"gay, aids, terminal illness, hiv, death, lgbt history"
38867,"paris, sex, jealousy, infidelity, secret, world war ii, nudity, writer, soldier, violence, extramarital affair"
753,"prostitute, adultery, suicide attempt, nudity, marriage crisis, love, independent film, divorce"
8866,"radio presenter, false identity, decoy, beguilement, love, art"
922,"sheriff, bounty, bounty hunter, gun, attempted murder, prosecution, illness and injury, dying and death, frontier, murder, black and white, 19th century, fear of dying, wanted dead or alive"
73183,
664,"wife husband relationship, tornado, twister, oklahoma, metereologist, invention, climate, barn, natural disaster, cow, truck, disaster, aunt niece relationship, storm chaser, divorce"
532,"prison, inventor, loyalty, sheep, innocence, surrealism, framed, dog, sheep rustling, wallace & gromit"
26744,"numbers racket, film noir"
935,"usa president, general, cold war, strategic air command, nuclear missile, war room, bomber pilot, nuclear weapons, ex nazi, doomsday device, absurdism"
7095,"age difference, appearance, body exchange, genetics"
124633,"yugoslavia, immigration, american dream, serbia"
627,"london england, alcohol, sex, based on novel, drug addiction, drug dealer, nightclub, junkie, heroin, cold turkey, modern society, hallucination, friendship, surrealism, dark comedy, stealing, monologue, cult film, recovering drug addict, illegal drugs, drug deal, drug rehabilitation, drug culture, antihero"
602,"spacecraft, patriotism, countdown, independence, invasion, war, ufo, extraterrestrial, spaceship, alien, battle"
81949,
124306,
1645,"ku klux klan, rape, mississippi, jurors, blackmail, attempted murder, forgiveness, court, shooting, murder, suspense, lawyer, trial, courtroom, racial tension, kkk, racial issues, courtroom drama"
34170,
124645,
151489,poet
4837,menage a trois
2925,"divorce, divorced woman, reunited friends"
3595,"bounty, loss of child, yellow press, fbi, baby-snatching, suspense, fbi agent, millionaire"
3573,"skab under tv, Øverste hylde, foran"
124619,
144982,"bartender, grifter"
47907,"prison, small town, independent film, church"
549,"new york, sex, drug abuse, homeless person, new love, drug addiction, overdose, graffiti, street art, vernissage, exhibit, friendship, independent film, drug, celebration"
145925,
238,"italy, love at first sight, loss of father, patriarch, organized crime, mafia, lawyer, italian american, crime family, rise to power, mob boss, 1940s"
159,"transvestism, gay, male nudity, sexual identity, cologne, drag queen, support group, heterosexual, diashow, waitress, infidelity, friendship"
88224,"sex, robbery, runaway, dream, kidnapping, sister, police, pregnant, teenager, drug, woman director"
58770,"riot, blackout, power outage, sick child"
124851,
3587,"circus, magic, aunt, imaginary friend"
26933,"love triangle, gay, province, algerienkrieg, french, homosexuality, gay relationship, coming of age, in the closet, gay sex, gay man, heartbreak, lgbt, lgbt teen, broken heart"
981,"philadelphia, photographer, strong woman, swimming pool, remarriage, hangover, reporter, divorcee, socialite, ex-husband ex-wife relationship, high society, fiancé fiancée relationship, divorced couple, family estate, inebriated, imminent wedding, kid sister, love quadrangle"
872,"fan, morning, musical, talkie, partner, movie in movie, broadway, audience, chorus girl, diction coach, pearl necklace, flapper"
2769,"paris, world war ii, musical, parfum, singing"
164,"loss of brother, age difference, cat, broken engagement, fire escape, love of one's life, jewelry, store window, neighbor, millionaire, celebration"
426,"san francisco, sense of guilt, bachelor, obsession, love of one's life, vertigo, museum, necklace, grave, plan, painting, film noir"
567,"nurse, photographer, suspicion of murder, girlfriend, neighbor, salesman, apartment, convalescence, voyeurism, homebound"
3078,"miami, reference to the big bad wolf, reporter"
213,"assassination, spy, mount rushmore national memorial, mistaken identity, on the run, fugitive, espionage, advertising, framed, government agent"
284,"new york, new year's eve, lovesickness, age difference, suicide attempt, office, flat, spaghetti, christmas party, winter, clerk, tennis racket, romantic comedy, extramarital affair"
239,"chicago, witness, musician, mafia, cross dressing, band, spats, all girl band, st. valentine's day massacre, sugar, valentine's day, dressing"
4808,"paris, cia, age difference, love of one's life, interpreter, loss of husband, french, stamp, train, alias, hitchcockian"
289,"love triangle, corruption, spy, resistance, casablanca, emigration, visa, patriotism, nationalism, concentration camp, nazis, war, melodrama, film noir"
963,"san francisco, detective, loss of husband, murder, statuette, private detective, black bird, sam spade, private eye, film noir"
6620,"brother brother relationship, chauffeur, champagne, playboy, love, teenage crush, millionaire, high society, manhattan, new york city, impossible love, family disapproval"
804,"rome, secret identity, boat, dance, intelligence, forbidden love, embassy, duty, sightseeing, photography"
909,"musical, moving, boy next door, americana, togetherness, fiddle, chapter headings, straw hat, st. louis missouri, 20th century"
630,"witch, adolescence, based on novel, secret identity, clock, dream, lion, tornado, scarecrow, musical, crow, music, kansas, classic, imaginary land, cowardliness, sepia color"
770,"life and death, civil war, southern usa, loss of child, marriage proposal, atlanta, luxury, plantation, typhus, business woman, marriage crisis"
599,"new year's eve, screenwriter, jealousy, butler, loss of sense of reality, diva, hollywood, madness, aging actor, silent film star, film noir"
15,"journalist, newspaper, florida, capitalist, banker, media tycoon, art collector, sleigh, money, child"
62,"moon, jupiter, artificial intelligence, man vs machine, technology, super computer, human being, space travel, space mission, moon base, astronaut, evolution, monolith, space station"
705,"jealousy, obsession, manipulation, fan, engagement, celebrity, party, melodrama, playwright, hollywood, black and white, director, relationship, insecurity, envy, broadway, critic, based on short story, theater, actress, entertainment"
223,"monte carlo, based on novel, age difference, secret, obsession, bride, cornwall, love, suspense, rural setting, devotion, housekeeper, death, estate, costume party, film noir, second wife"
303,"poison, love at first sight, marriage proposal, undercover, patriotism, rio de janeiro, wine cellar, fbi, atomic bomb, staircase, nazis, daughter, suspense, espionage, millionaire, intoxication, film noir"
4174,"amnesia, insane asylum, suspense"
381,"hotel, falsely accused, villa, jealousy, age difference, cat, expensive restaurant, nice, southern france, masked ball, roof, picnic, fireworks, côte d'azur, jewelry, police, suspense, blonde woman, cat burglar"
1859,"paris, capitalism, istanbul, communist, capitalist, fur, jewelry"
1939,"detective, obsession, investigation, painting, advertising expert, murder, romance, suspense, investigator, apartment, classic noir"
3598,"airplane, tibet, survival, shangri la, himalayan mountains"
3080,"venice, dance, musical, tap dancing, stage show, fashion designer, mistaken identity, fashion, valet, rapier"
198,"love triangle, london england, infidelity, world war ii, warsaw ghetto, polish resistance, jewish ghetto, nazis, airplane, parachuting, funny nazi, military officer, espionage"
220,"individual, brother brother relationship, rebel, southern usa, birthday, big wheel, love, money, good and bad, beans"
3529,"detective, inventor, police, murder, mistress, dinner, wedding, screwball comedy, terrier, thin man, x-ray"
3085,"suicide, prison, journalist, journalism, fugitive, wager, newspaper editor, insurance agent, fiancé fiancée relationship, crooked politician, press room, political corruption, rolltop desk, reprieve, bride-to-be, ex spouses, imminent execution, convicted murderer"
2897,"usa, jules verne, bet, detective, asia, europe, saloon, hot air balloon, epic, train, valet, around the world, journey, steamship"
1585,"holiday, angel, based on novel, bank, suicide attempt, small town, christmas tree, great depression, christmas eve, feel-good ending, guardian angel, christmas"
3083,"corruption, washington d.c., senate, senator, governor, politician, camp, conservative, usa politics, political drama"
900,"prison, donation, zoo, museum, paleontologist, leopard, bone, screwball comedy"
26378,"detective, arizona, ranch, boxer, boxing match, sport, police, reporter, dead end kids"
260,"london england, scotland, scotland yard, handcuffs, secret, entertainer, intelligence, cabaret, secret agent, murder, fugitive, train, memorization, manhunt, handcuffed together, held against will, bickering couple, wrongly accused"
488,"africa, missionary, river, desperation, boat, patriotism, world war i, hippopotamus, giraffe, methodist church, moqukito, boat wedding, leech, gin, canadian, tanzania, kongo, animal species, hope, faith"
261,"individual, suicide, southern usa, adultery, mississippi, depression, jealousy, wife husband relationship, dying and death, alcoholic"
125587,
890,"suicide, brother brother relationship, sex, lovesickness, jealousy, austria, new love, village life, mountain village, pregnancy and birth, dying and death, vorarlberg, organ, down syndrome, village, music, genius, snow, rural setting, storm, church, alps, catholicism"
1770,"civil war, fight, presidential election, freedom fighter, chinese civil war, ireland"
2033,"new mexico, atomic bomb, world war ii, love of one's life, new orleans, atomic bomb test, wedding, tuberculosis"
25739,
161806,
6346,"ku klux klan, doomed man"
6878,"based on novel, cat, friendship, remake, dog, journey"
173,"diving, ocean, submarine, jules verne, captain, atlantis, deep sea, war ship, diving suit, harpoon, ship, war, scuba diving, underwater, scuba, captain nemo, giant  squid"
864,"winter, trainer, olympic games, jamaica, training camp, reggae, bobsleighing, sport"
8367,"england, crusade, mercifulness, robin hood, folk hero"
433,"london england, dancing, parent child relationship, bank, brother sister relationship, famous score, confidence, nanny, laughing, magic, chimney sweeper, musical, live action and animation"
562,"helicopter, journalist, based on novel, terrorist, skyscraper, christmas party, s.w.a.t., hostage, kidnapping, vault, fistfight, murder, heist, shootout, los angeles, one man army, explosion, violence, fbi agent, walkie talkie, christmas eve, elevator shaft, one night, action hero"
454,"shakespeare, forbidden love, gun violence, star crossed lovers, shakespeare in modern dress, teenage romance, masquerade, shakespeare's romeo and juliet, gangster grip"
819,"child abuse, sadistic, sexual abuse, pastor, repayment, juvenile prison, court case, pub, court, juvenile delinquent, child"
1834,"detective, lover (female), planned murder, femme fatale, hallucinogenic drug, los angeles, beach house, private detective, philip marlowe, film noir, sedation, search for truth, unfaithful wife, tiki culture"
26282,"macao, film noir"
252,"chocolate, factory worker, based on novel, candy, tv addicted person, overweight child, grandfather grandson relationship, factory, musical, single, teacher"
623,"robbery, infidelity, cheating, heart attack, heist, lawyer, silencer, courtroom, american abroad, cult film, animal abuse, barrister, stuttering, weir, yelling, killing a dog, cutical scissors, run over by a steamroller, gag, excuse, barrel, zoophilia, screwball, stolen jewelry"
583,"christianity, male nudity, jewry, resistance, gladiator, roman empire, balcony, miracle, graffiti, jesus christ, doomed man, homily, latin, three kings, crucifixion, bethlehem, dying and death, stoning, sermon on the mount, monty python, anarchic comedy"
475,"ambush, sheriff, waitress, prohibition, texas, bank robber, oklahoma, impotence, missouri, texas ranger, grave digger"
521,"london england, adultery, jealousy, secret, tennis, blackmail, evidence, letter, marriage, love, murder, suspense, classic, writer, crime, theft, visit, cult film, husband, player, 3d"
88,"dancing, sex, hotel, robbery, sister sister relationship, dancing master, mambo, dance performance, daughter, summer camp, secret love, teenage crush, doctor, class differences, youth, family holiday, sensuality, unwanted pregnancy, summer romance, abortion, catskill resort"
