cast,director,movieId
"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise, Ed Harris, Kathleen Quinlan, Mary Kate Schellhardt, Emily Ann Lloyd, Miko Hughes, Max Elliott Slade, Jean Speegle Howard, Tracy Reiner, David Andrews, Michele Little, Chris Ellis, Joe Spano, Xander Berkeley, Roger Corman, Andrew Lipschultz, Mark Wheeler, Endre Hules, Clint Howard, Christian Clemenson, Brett Cullen, Thom Barry, Gabriel Jarret, Jim Lovell",Ron Howard,568
"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman, Chris O'Donnell, Michael Gough, Pat Hingle, Drew Barrymore, Debi Mazar, Elizabeth Sanders, Rene Auberjonois, Joe Grifasi, Philip Moon, Jessica Tuck, Dennis Paladino, Don Wilson, Bob Zmuda",Joel Schumacher,414
"Catherine Deneuve, Michel Piccoli, Jean Sorel, Geneviève Page, Pierre Clémenti, Françoise Fabian, Macha Méril, Georges Marchal, Francisco Rabal, Muni, Michel Charrel, Bernard Musson, Marcel Charvey, François Maistre, Francis Blanche, Luis Buñuel, Claude Cerval, Marc Eyraud, Bernard Fresson",Luis Buñuel,649
"Patricia Arquette, Frances McDormand, U Aung Ko, Spalding Gray, Tiara Jacquelina, Ann Howard, Victor Slezak, Ye Myint, Cho Cho Myint, Michael Pickells, Enzo Rossi, Kuswadinath Bujang, Johnny Cheah, M.Rajoli",John Boorman,1873
"Harvey Keitel, Lou Reed, Michael J. Fox, Roseanne Barr, Lily Tomlin, Giancarlo Esposito, José Zúñiga, Madonna, Mira Sorvino, Keith David, Victor Argo, Jim Jarmusch, Jared Harris, Mel Gorham, Malik Yoba, John Lurie, Stephen Gevedon, Sharif Rashed, Peggy Gormley, RuPaul","Paul Auster, Wayne Wang",5894
"Christina Ricci, Bill Pullman, Cathy Moriarty, Eric Idle, Joe Nipote, Joe Alaskey, Brad Garrett, Garette Ratliff Henson, Jessica Wesson, Amy Brenneman, Malachi Pearson, Chauncey Leopardi, Spencer Vrooman, Ben Stein, Don Novello, Fred Rogers, Terry Murphy, Ernestine Mercer, Doug Bruckner, John Kassir, Wesley Thompson, Michael Dubrow, J.J. Anderson, Jess Harnell, Michael McCarty, Micah Winkelspecht, Mike Simmrin, Devon Sawa, Dan Aykroyd, Rodney Dangerfield, Clint Eastwood, Mel Gibson, Elise Main, Tony Stef'Ano",Brad Silberling,8839
"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza, Viggo Mortensen, James Gandolfini, Rocky Carroll, Jaime Gomez, Michael Milhoan, Scott Burkholder, Danny Nucci, Lillo Brancato, Eric Bruskotter, Ricky Schroder, Steve Zahn, Marcello Thedford, Ryan Phillippe, Scott Grimes",Tony Scott,8963
"Robert Crumb, Aline Kominsky, Charles Crumb, Maxon Crumb, Martin Muller, Robert Hughes",Terry Zwigoff,26564
"Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin, Steve Buscemi, Carlos Andrés Gómez, Quentin Tarantino, Tito Larriva, Angel Aviles, Danny Trejo, Abraham Verduzco, Carlos Gallardo, Albert Michel Jr., David Alvarado, Angela Lanza, Elizabeth Rodriguez",Robert Rodriguez,8068
"Denzel Washington, Tom Sizemore, Jennifer Beals, Don Cheadle, Maury Chaykin, Terry Kinney, Mel Winkler, Albert Hall, Lisa Nicole Carson, Jernard Burks, David Fonteno",Carl Franklin,8512
"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene, Colleen Camp, Larry Bryggman, Anthony Peck, Nicholas Wyman, Sam Phillips, Kevin Chamberlin, Sharon Washington, Stephen Pearlman, Michael Alexander Jackson, Aldis Hodge, Mischa Hausserman, Michael Cristofer, Tony Halme",John McTiernan,1572
"Sean Connery, Richard Gere, Julia Ormond, Ben Cross, Liam Cunningham, Christopher Villiers, Valentine Pelka, Colin McCormack, Ralph Ineson, John Gielgud, Stuart Bunce, Jane Robbins, Jean Marie Coffey, Paul Kynman, Tom Lucy, Richard Claxton",Jerry Zucker,6520
"Scott Bakula, Kevin J. O'Connor, Famke Janssen, Joel Swetow, Daniel von Bargen, Barry Del Sherman, Joseph Latimore, Sheila Tousey, Vincent Schiavelli, Ashley Tesoro, J. Trevor Edmond, Wayne Grace, Jordan Marder, Susan Traylor, Joanna Sanchez, McNally Sagal, Danny Woodburn",Clive Barker,8973
"Jason Lee, Jeremy London, Shannen Doherty, Claire Forlani, Ben Affleck, Joey Lauren Adams, Michael Rooker, Jason Mewes, Kevin Smith, Priscilla Barnes, Renée Humphrey, Ethan Suplee, Stan Lee, Brian O'Halloran, Sven-Ole Thorsen, Scott Mosier, Walt Flanagan, Bryan Johnson",Kevin Smith,2293
"Sandra Bullock, Jeremy Northam, Dennis Miller, Wendy Gazelle, Ken Howard, Diane Baker, Ray McKinnon, Daniel Schorr, L. Scott Caldwell, Robert Gossett, Kristina Krofft, Tony Perez, Gene Kirkwood, Christopher Darga, Charles Winkler, Julia Pearlstein, Rick Snyder, Gerald Berns, Tannis Benedict, Vaughn Armstrong, Wren T. Brown, Lynn Blades, Israel Juarbe, Julia Vera, Lewis Dix Jr., Lili Flanders, Adam Winkler, Brian E. Frankish, Wanda-Lee Evans, David Winkler, Andrew Amador, Juan García",Irwin Winkler,1642
"Julianne Moore, Xander Berkeley, Dean Norris, Peter Friedman, Kate McGregor-Stewart, James Le Gros, Jessica Harper, Beth Grant, Julie Burgess, Ronnie Farer, Jodie Markell, Susan Norman, Brandon Cruz",Todd Haynes,32646
"Ralph Fiennes, Angela Bassett, Tom Sizemore, Juliette Lewis, Vincent D'Onofrio, William Fichtner, Michael Wincott, Glenn Plummer, Brigitte Bako, Kelly Hu, Richard Edson, Josef Sommer, Joe Urla, Michael Jace",Kathryn Bigelow,281
"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Mireille Perrey, Marc Michel, Ellen Farner, Jean Champion, Pierre Caden, Jean-Pierre Dorat",Jacques Demy,5967
"Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl, Моррис Честнат, Peter Greene, Patrick Kilpatrick, Scott Sowers, Afifi Alaouie, Andy Romano, Brenda Bakke, Sandra Taylor",Geoff Murphy,3512
"Jeff Bridges, Ellen Barkin, John Hurt, Diane Lane, Keith Carradine, David Arquette, Christina Applegate, Bruce Dern, James Gammon, Marjoe Gortner, James Remar",Walter Hill,65796
"Daniel Stern, Jon Polito, Brad Sullivan, Ann Dowd, Anthony Heald, Tom Wood, Blake Bashoff, Corey Carrier, Michael Galeota, Max Goldblatt",Greg Beeman,26258
"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, Karl Bruckschwaiger, Tex Rubinowitz, Erni Mangold, Dominik Castell, Haymon Maria Buttinger, Harold Waiglein, Bilge Jeschim, Kurti, Hans Weingartner, Liese Lyon, Peter Ily Huemer, Otto Reiter, Hubert Fabian Kulterer, Branko Andric, Constanze Schweiger, John Sloss, Alexandra Seibel, Georg Schöllhammer, Christian Ankowitsch, Wilbirg Reiter, Barbara Klebel, Wolfgang Staribacher, Wolfgang Glüxam",Richard Linklater,76
"Brad Renfro, Joseph Mazzello, Annabella Sciorra, Nicky Katt, Diana Scarwid, Aeryk Egan, Peter Moore",Peter Horton,6715
"Brian O'Halloran, Jeff Anderson, Jason Mewes, Kevin Smith, Lisa Spoonhauer, Marilyn Ghigliotti, Scott Mosier, Walt Flanagan, Scott Schiaffo, David Klein, Ed Hapstak, Pattijean Csik, John Henry Westhead, Kimberly Loughran, Grace Smith",Kevin Smith,2292
"Johnny Depp, Marlon Brando, Faye Dunaway, Géraldine Pailhas, Bob Dishy, Rachel Ticotin, Talisa Soto, Stephen Singer, Джо Чампа, Marita Geraghty, Richard C. Sarafian, Tresa Hughes, Carmen Argenziano",Jeremy Leven,1909
"Michael Douglas, Demi Moore, Donald Sutherland, Dylan Baker, Jacqueline Kim, Roma Maffia, Caroline Goodall, Rosemary Forsyth, Dennis Miller, Suzie Plakson, Nicholas Sadler, Donal Logue",Barry Levinson,8984
"Wesley Snipes, Gary Busey, Yancy Butler, Michael Jeter, Corin Nemec, Kyle Secor, Luca Bercovici, Malcolm-Jamal Warner",John Badham,4954
"Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones, G. D. Spradlin, Vincent D'Onofrio, Bill Murray, Mike Starr, Max Casella, Brent Hinkley, William James Myers, Juliet Landau, Clive Rosengren, Norman Alden, Leonard Termo, Ned Bellamy, Danny Dayton, Ross Manarchy, Bill Cusack, Lisa Marie, Stanley DeSantis, Biff Yeager, Joseph R. Gannascoli, Carmen Filpi, Lisa Malkiewicz, Melora Walters, Conrad Brooks, Don Amendolia, Reid Cruickshanks, Lionel Decker, Edmund L. Shaff, Gene LeBell, Bobby Slayton, Gretchen Becker, John Rice, Catherine Butterfield, Mary Portser, King Cotton, Don Hood, Matthew Barry, Ralph Monaco, Anthony Russell, Gregory Walcott, Charles C. Stevenson Jr., Rance Howard, Vasek Simek, Vinny Argiro, Korla Pandit, Patti Tippo, Ray Baker, Louis Lombardi, Jesse Hernandez, Jim Boyce, Ben Ryan Ganger, Charlie Holliday, Tommy Bertelsen, Adam Drescher, Ric Mancini, George Steele 'The animal', Daniel Riordan, Mickey Cottrell, Lena Banks, Maurice LaMarche, Ada Tai, Arlene Tai, Rayder Woods, Ralph Moratz",Tim Burton,522
"Meg Ryan, Kevin Kline, Timothy Hutton, Jean Reno, Adam Brooks, François Cluzet, Suzan Anbeh, Renée Humphrey",Lawrence Kasdan,397
"Melanie Lynskey, Kate Winslet, Sarah Peirse, Simon O'Connor, Diana Kent, Clive Merrison, Gilbert Goldie, Jed Brophy, Darien Takle, Peter Elliott, Elizabeth Moody, Liz Mullane, Jean Guérin, Ben Fransham",Peter Jackson,1024
"Brad Pitt, Tom Cruise, Kirsten Dunst, Antonio Banderas, Christian Slater, Stephen Rea, Thandie Newton, Domiziana Giordano, Sara Stockbridge, Indra Ové, Laure Marsac, Andrew Tiernan, Bellina Logan, George Kelly, Helen McCrory",Neil Jordan,628
"Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella, Pamela Reed, Aida Turturro, Christopher Meloni, Megan Cavanagh, Welker White, James Eckhouse, Mary Gordon Murray, Stefan Gierasch, Monika Schnarre, Cassandra Wilson, Julie Nunis, Holly Wortell, Kevin West, Lisa Summerour, Kathleen Chalfant, Michele Abrams, Anna Gunn, Antoinette Peragine, Peter Chen, Judy Collins, Lawrence Tierney, Matt Mulhern, Maggie Han, John Pinette, Christopher Pray, Kevin Sifuentes, Allen Walls, Fred Stoller, Dayna Winston, Misa Koprova, Tom Dugan, Alexander Enberg, Jodi Knotts, Mindy Seeger, Merle Kennedy, Ryan Doss, Brianna McConnell, Ellen McLaughlin, Bubba Dean Rambo, Brittany McConnell, Zachary Doss, Charmaine Alicia Mancil, Dee Hengstler, Daryl Richardson, Maurice Schwartzman, Charles McGowan, Jerald Vincent, Ira Newborn, Lawrence T. Wrentz, Kim Wolfe, Susan Dills, Maggy Myers Davidson, Steven 'Lance' Carter, Brandon Ross, Leah Teweles, Dean Jacobson, John Yang, Jan Yanehiro, Sara Peery, Dennis O'Donnell, Beth Campbell Fitzgerald, Judy Ovitz",Ivan Reitman,6280
"David Caruso, Samuel L. Jackson, Nicolas Cage, Helen Hunt, Kathryn Erbe, Stanley Tucci, Michael Rapaport, Ving Rhames, Philip Baker Hall, Anthony Heald",Barbet Schroeder,6071
